run_id,candidate_id,cif_file,temperature_k,pressure_low_bar,pressure_high_bar,uptake_low_mmol_g,uptake_high_mmol_g,deliverable_mmol_g
native_baseline_repC,base_native,2021[Cu][nbo]3[ASR]2_base_native.cif,298.15,5,100,0.8827792,15.53877,14.6559908
V009_scale1.2600_repA,v009_scale12600,v009_scale12600_proxy_simple.cif,298.15,5,100,1.324282,24.93033,23.606048
V009_scale1.2600_repB,v009_scale12600,v009_scale12600_proxy_simple.cif,298.15,5,100,1.319537,24.87828,23.558743
V009_scale1.2600_repC,v009_scale12600,v009_scale12600_proxy_simple.cif,298.15,5,100,1.321411,24.92189,23.600479
V009_scale1.2600_repD,v009_scale12600,v009_scale12600_proxy_simple.cif,298.15,5,100,1.303174,25.03468,23.731506000000003
V009_scale1.2600_repE,v009_scale12600,v009_scale12600_proxy_simple.cif,298.15,5,100,1.30663,24.96486,23.658230000000003
V009_scale1.2600_repF,v009_scale12600,v009_scale12600_proxy_simple.cif,298.15,5,100,1.29274,24.95381,23.661070000000002
V009_scale1.2600_repG,v009_scale12600,v009_scale12600_proxy_simple.cif,298.15,5,100,1.341096,25.14607,23.804974
V009_scale1.2600_repH,v009_scale12600,v009_scale12600_proxy_simple.cif,298.15,5,100,1.329505,24.957,23.627495
V009_scale1.2600_repI,v009_scale12600,v009_scale12600_proxy_simple.cif,298.15,5,100,1.329412,24.98954,23.660128
V010_scale1.2600_CuNi12_repA,v010_scale12600_cuni12,v010_scale12600_cuni12_proxy_simple.cif,298.15,5,100,1.323888,24.9605,23.636612
V010_scale1.2600_CuNi12_repB,v010_scale12600_cuni12,v010_scale12600_cuni12_proxy_simple.cif,298.15,5,100,1.310861,25.10466,23.793799
V010_scale1.2600_CuNi12_repC,v010_scale12600_cuni12,v010_scale12600_cuni12_proxy_simple.cif,298.15,5,100,1.333621,25.05362,23.719998999999998
V010_scale1.2600_CuNi12_repD,v010_scale12600_cuni12,v010_scale12600_cuni12_proxy_simple.cif,298.15,5,100,1.336648,25.03131,23.694662
V010_scale1.2600_CuNi12_repE,v010_scale12600_cuni12,v010_scale12600_cuni12_proxy_simple.cif,298.15,5,100,1.340808,25.02611,23.685302
V010_scale1.2600_CuNi12_repF,v010_scale12600_cuni12,v010_scale12600_cuni12_proxy_simple.cif,298.15,5,100,1.323955,24.86874,23.544784999999997
V010_scale1.2600_CuNi12_repG,v010_scale12600_cuni12,v010_scale12600_cuni12_proxy_simple.cif,298.15,5,100,1.309901,25.06304,23.753139
